Product Names,Star Ratings,Review Count,Sales Volume,MRP Price,Discount Precentage,Discounted Price,Prime Delivery Estimate,Non Prime Delivery Estimate,Festival Tag,Category,Sub Category
Samsung Galaxy Z Fold6 5G Silver Shadow 12GB 256GB,4.2,208,2K,164999,0.37,103999,10/10/2025,12/10/2025,Limited time deal,Electronics,Smart Phones
Samsung Galaxy A35 5G Awesome Navy 8GB 128GB,4.2,298,2K,33999,0.47,17999,11/10/2025,13/10/2025,Best seller,Electronics,Smart Phones
OnePlus Nord CE5 Black Infinity 8GB 256GB,4.3,2339,5K,26999,0.4,25999,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
Samsung Galaxy S24 FE 5G Mint 8GB 128GB,4.4,524,3K,59999,0.47,31990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
Vivo T4 Lite 5G Prism Blue 6GB 128GB,4.3,292,2K,14999,0.27,10999,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Smart Phones
Samsung Galaxy M36 5G Orange Haze 8GB 128GB,3.8,2047,4K,24499,0.37,15499,11/10/2025,13/10/2025,Best seller,Electronics,Smart Phones
iQOO Z10R 5G Aquamarine 12GB 256GB,4.3,1591,3K,26999,0.13,23498,10/10/2025,12/10/2025,Limited time deal,Electronics,Smart Phones
OnePlus Nord CE5 Marble Mist 8GB 128GB,4.3,2339,5K,24999,0.4,23999,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
POCO M7 5G Mint Green 6GB 128GB,4.2,1317,4K,12999,0.35,8489,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"iQOO Z10 5G Stellar Black, 7300mAh Battery",4.3,2914,5K,25999,0.19,20998,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
Samsung Galaxy M36 5G Serene Green 8GB 128GB,3.8,2047,4K,24499,0.37,15499,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Smart Phones
"iQOO Neo 10R 5G, Moonknight Titanium, 8GB, 128GB",4.4,4062,5K,31999,0.22,24999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"Nothing Phone 2a Plus Grey, 50MP Triple Camera",4.2,822,500,29999,0.29,21439,10/10/2025,14/10/2025,Deal with GST Savings,Electronics,Smart Phones
iQOO Neo 10R 5G Moonknight Titanium 8GB 128GB,4.4,4061,5K,31999,0.22,24999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
OPPO K13 5G ICY Purple 8GB 128GB,4.3,282,3K,22999,0.28,16581,10/10/2025,12/10/2025,Limited time deal,Electronics,Smart Phones
"POCO M7 5G, Satin Black, 6GB, 128GB",4.2,1317,4K,12999,0.35,8489,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"Samsung Galaxy M36 5G, Serene Green, 8GB, 128GB",3.8,2047,4K,24499,0.37,15499,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"POCO C75 5G, Enchanted Green, 4GB, 64GB",4.2,844,2K,10999,0.34,7299,10/10/2025,14/10/2025,Limited time deal,Electronics,Smart Phones
"Redmi Note 14 SE 5G, 6GB RAM, 128GB",4.4,7,500,19999,0.33,13499,10/10/2025,12/10/2025,Limited time deal,Electronics,Smart Phones
"realme GT 7 (IceSense Black), 8GB RAM, 256GB, 7000mAh, Dimensity 9400e",4.2,503,500,45999,0.28,32998,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"iPhone 16, 128GB, A18 Chip, 5G",4.5,1594,500,79900,0.16,66900,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Smart Phones
"Nothing Phone 3A Pro, 8GB RAM, 128GB",4.2,32,500,32999,0.24,25140,10/10/2025,12/10/2025,Best seller,Electronics,Smart Phones
"Lava Storm Play 5G, 16GB RAM, 256GB, 5000mAh, MT D7060",4,689,500,15499,0.19,12499,10/10/2025,12/10/2025,Limited time deal,Electronics,Smart Phones
"realme GT 7 (IceSense Black), 8GB RAM, 256GB, 7000mAh, Dimensity 9400e",4.2,506,500,45999,0.28,32998,10/10/2025,14/10/2025,Great Indian Festival,Electronics,Smart Phones
"POCO C71, 4GB RAM, 64GB",4,838,500,8999,0.32,6125,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"Redmi A3X, 4GB RAM, 128GB",3.9,113,500,10999,0.4,6650,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Smart Phones
"Google Pixel 9A, 8GB RAM, 256GB",4.1,88,500,49999,0.17,41647,11/10/2025,13/10/2025,Best seller,Electronics,Smart Phones
"Redmi A5 Pondicherry Blue, 5200mAh, 6.88"" 120Hz",3.9,225,500,9999,0.29,7099,10/10/2025,12/10/2025,Limited time deal,Electronics,Smart Phones
"Motorola Edge 60 Fusion, 12GB RAM",4.2,185,400,27999,0.22,21945,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"Samsung Galaxy S24 5G, 256GB Storage",4.2,1356,300,79999,0.41,47135,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"Redmi A5 (Pondicherry Blue), 3GB RAM, 64GB, 5200mAh, 6.88"" 120Hz",3.9,225,500,8999,0.32,6099,10/10/2025,12/10/2025,Best seller,Electronics,Smart Phones
"Google Pixel 10 5G, 12GB RAM",3.6,18,500,79999,0.13,69670,11/10/2025,13/10/2025,Best seller,Electronics,Smart Phones
"Samsung Galaxy S24 FE 5G Mint, 4700mAh",4.5,44,200,65999,0.44,36655,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"Lava Storm Play 5G Frosty Blue, 5000mAh, 16GB RAM",4,692,500,15499,0.19,12499,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Smart Phones
"XIAOMI 14 Civi Shadow Black, 50MP Triple Camera",4.1,938,2K,54999,0.38,33999,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"Redmi Note 14 SE 5G Titan Black, 6GB RAM",3.8,8,500,19999,0.33,13499,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"Vivo V60 5G Mist Gray, 256GB Storage",4.2,244,500,43999,0.11,38999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"Redmi Note 14 5G Titan Black, 50MP Triple Camera",3.9,2077,500,24999,0.26,18499,10/10/2025,12/10/2025,Limited time deal,Electronics,Smart Phones
"realme GT 7 IceSense Blue, 7000mAh, Dimensity 9400e",4.2,506,500,45999,0.28,32998,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"Redmi A3X Ocean Green, 128GB Storage",3.9,125,500,10999,0.4,6580,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"VIVO T4 5G Emerald Blaze, 128GB Storage",4.2,106,50,25999,0.22,20245,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"Lava Storm Lite 5G Cosmic Titanium, 5000mAh, 120Hz",4,503,500,11499,0.26,8499,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"OnePlus 13s, Snapdragon 8 Elite",4.5,1143,500,57999,0.12,50999,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Smart Phones
"Samsung Galaxy Z Fold6 5G Silver Shadow, 50MP Camera",4.2,210,2K,164999,0.37,103999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"Motorola Edge 60 Pro, 256GB Storage",4.1,34,300,36999,0.27,27190,11/10/2025,13/10/2025,Limited time deal,Electronics,Smart Phones
"OPPO Reno14 5G (Forest Green), 8GB RAM, 256GB",4.3,512,500,42999,0.12,37998,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"Moto G85 5G 8GB 128GB, Olive Green, New",4.2,794,500,20999,0.23,16230,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Smart Phones
"OPPO Reno14 5G (Pearl White), 12GB RAM, 256GB",4.3,512,500,44999,0.11,39998,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"Nothing Phone 3a, Black, 8GB, 256GB",4.4,414,2K,29999,0.22,23547,11/10/2025,13/10/2025,Best seller,Electronics,Smart Phones
"Oppo K13 5G, Prism Black, 8GB, 128GB",4.3,236,3K,22999,0.29,16291,10/10/2025,12/10/2025,Limited time deal,Electronics,Smart Phones
"Motorola Edge 50 Fusion 5G, 12GB RAM, 256GB",4.1,962,500,27999,0.24,21190,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"XIAOMI 14 Civi (Cruise Blue), 8GB RAM, 256GB, SD 8s Gen 3, 50MP Triple Camera",4.1,929,1K,54999,0.52,26249,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"POCO M6 Plus 5G, Misty Lavender, 8GB, 128GB",4,1357,3K,17999,0.43,10224,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"Apple iPhone 15, Pink, 256GB",4.5,6851,5K,79900,0.26,58999,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Smart Phones
"OPPO K13x 5G, Midnight Violet, 6GB, 128GB",4.1,67,2K,16999,0.3,11919,11/10/2025,13/10/2025,Best seller,Electronics,Smart Phones
"Apple iPhone 15, Green, 256GB",4.5,6851,5K,79900,0.24,60999,11/10/2025,13/10/2025,Limited time deal,Electronics,Smart Phones
"VIVO T4x, Pronto Purple, 8GB, 128GB",4.4,423,2K,19499,0.26,14499,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"iQOO Z10 5G, Glacier Silver, 12GB, 256GB",4.3,2903,2K,29999,0.17,24999,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"OPPO Reno13 5G, Luminous Blue, 8GB, 128GB",4.1,237,1K,41999,0.43,23999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"POCO C75 5G, Silver Stardust, 4GB, 64GB",4.2,844,2K,10999,0.34,7299,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Smart Phones
"Samsung Galaxy A55 5G, Awesome Navy, 12GB, 256GB",4.2,3358,3K,48999,0.41,28999,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Smart Phones
"iQOO Neo 10, Inferno Red, 12GB, 256GB",4.3,2859,5K,40999,0.17,33998,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"Samsung Galaxy F05, Twilight Blue, 4GB, 64GB",4.1,464,1K,9999,0.34,6585,10/10/2025,12/10/2025,Limited time deal,Electronics,Smart Phones
"Nothing Phone 3a, Black, 8GB, 128GB",4.4,310,2K,27999,0.23,21518,10/10/2025,12/10/2025,Best seller,Electronics,Smart Phones
"Samsung Galaxy S24 FE 5G, 8GB RAM, 256GB, 4700mAh, Exynos 2400e",4.4,138,500,65999,0.42,38038,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Smart Phones
"Motorola G05 4G, 4GB RAM, 64GB",4,296,1K,9999,0.21,7850,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
"iQOO Neo 10R 5G, 8GB RAM, 128GB, 6400mAh, Snapdragon 8s Gen 3, 90FPS",4.4,4062,500,31999,0.22,24999,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Smart Phones
"Redmi A5 (Jaisalmer Gold), 4GB RAM, 128GB, 5200mAh, 6.88"" 120Hz",3.9,225,500,9999,0.29,7099,11/10/2025,13/10/2025,Best seller,Electronics,Smart Phones
"XIAOMI 14 Civi (Aqua Blue), 12GB RAM, 512GB, SD 8s Gen 3, 50MP Triple Camera",4.1,929,500,59999,0.51,29249,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"Infinix Note 50x 5G+, 6GB RAM, 128GB, 5500mAh, MediaTek D7300, 90FPS",4.3,162,500,14999,0.23,11499,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Phones
"iQOO Neo 10, 8GB RAM, 256GB, 7000mAh, 144FPS, Snapdragon 8s Gen 4",4.3,2859,5K,38999,0.18,31998,10/10/2025,14/10/2025,Limited time deal,Electronics,Smart Phones
"Redmi 15 5G, 8GB RAM, 256GB, 7000mAh, 6.9"" 144Hz",3.9,420,2K,19999,0.15,16998,10/10/2025,12/10/2025,Best seller,Electronics,Smart Phones
"OnePlus Nord CE5, Black Infinity, 12GB, 256GB",4.3,2339,2K,28999,0.3,27999,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Smart Phones
"Motorola G96, 8GB RAM, 128GB, 144Hz Curved pOLED",3.9,46,500,20999,0.16,17680,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Smart Phones
"Nothing Phone 3A 5G, White, 8GB, 256GB",4.3,433,2K,29999,0.2,23970,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Phones
boAt Storm Call 3 w/TBT Navigation,4,33.9K,2K ,8449,0.88,999,10/10/2025,11/10/2025,Great Indian Festival,Electronics,Smart Watches
Redmi Watch 5 Lite 1.96 inch AMOLED Light Gold,4,1086,500,6999,0.92,3299,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Smart Watches
Noise Pulse 2 Max 1.85 Display,4,20.2K,5K ,5999,0.82,1099,10/10/2025,11/10/2025,Great Indian Festival,Electronics,Smart Watches
Fastrack Limitless X2 1.91 inch UltraVU Black,4,16377,700,2995,0.71,1699,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Watches
boAt Chrome Horizon,4,256,200 ,9499,0.71,2799,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Watches
boAt Ultima Ember 1.96 inch AMOLED Rose Gold,3.9,1609,500,8999,0.43,1699,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Watches
Fastrack Limitless Fs2 Pro Smart Watch,4,3.9K,500 ,7995,0.66,2695,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Watches
boAt Ultima Ember 1.96 inch AMOLED Royal Berry,3.9,1609,500,8999,0.81,1699,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Smart Watches
Fire-Boltt Talk Bluetooth Calling Smartwatch,3.9,36.3K,500 ,11999,0.91,1099,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Watches
boAt Storm Infinity Max 2.01 inch Pink,3.9,1219,500,6499,0.84,1199,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Watches
Boat Wave Call 3 Smartwatch 1.83Ã¢â‚¬ HD Display ,4.1,25.0K,2K ,6999,0.84,1099,10/10/2025,12/10/2025,Best seller,Electronics,Smart Watches
GOBOULT Trail 2.01 inch HD Jade Green,3.9,994,500,6999,0.77,1099,11/10/2025,13/10/2025,Limited time deal,Electronics,Smart Watches
boAt New Launch Ultima Prime smartwatch,4,2.3K,1K ,8999,0.79,1899,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Watches
Noise Halo Plus 1.46 inch AMOLED Elite Black,4.1,6827,1K,8999,0.14,2599,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Watches
Noise Twist Round dial Smart Watch Bluetooth,4,46.4K,5K ,4999,0.78,1099,10/10/2025,11/10/2025,Great Indian Festival,Electronics,Smart Watches
Fire-Boltt Moonwatch 1.43 inch AMOLED Rose Gold,3.9,1829,1K,21000,0.89,1599,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Smart Watches
boAt Lunar Discovery w/ 1.39 (3.5 cm) HD Display,3.9,24.6K,5K ,8499,0.87,1099,10/10/2025,11/10/2025,Great Indian Festival,Electronics,Smart Watches
NoiseFit Halo 1.43 inch AMOLED Forest Green,4,9281,1K,7999,0.83,2299,10/10/2025,12/10/2025,Limited time deal,Electronics,Smart Watches
Fire-Boltt Ninja Call Pro Max Smart Watch,3.9,1L,3K ,14999,0.92,1199,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Watches
boAt Ultima Prime 1.43 inch AMOLED Steel Black,4,2312,500,9499,0.81,2199,11/10/2025,13/10/2025,Best seller,Electronics,Smart Watches
Fire-Boltt Ninja Call Pro Plus Smart Watch,3.9,1L,5K ,19999,0.95,999,10/10/2025,11/10/2025,Great Indian Festival,Electronics,Smart Watches
Noise Pulse 2 Max 1.85 inch Jade Green,4,20548,400,5999,0.72,999,10/10/2025,12/10/2025,Best seller,Electronics,Smart Watches
Boult GOBOULT Newly Launched Crown R Pro Smart,4,287,500 ,6999,0.74,1799,10/10/2025,12/10/2025,Best seller,Electronics,Smart Watches
Fastrack Volt S1 1.83 inch Black,4,16377,700,2995,0.88,1499,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Smart Watches
Fire-Boltt Phoenix Pro Smart Watch,3.9,1L,1K ,11999,0.91,1099,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Watches
boAt Lunar Discovery 1.39 inch HD Cherry Blossom,3.9,24779,500,8499,0.83,1099,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Watches
Fire-Boltt Ninja Call Pro Smart Watch ,3.9,1L,1K ,17999,0.94,999,10/10/2025,11/10/2025,Great Indian Festival,Electronics,Smart Watches
Boat Wave Call 3 1.83 inch HD Timber Brown,4.1,25053,500,6999,0.94,1199,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Watches
Fire-Boltt Rise Smart Watch 1.85Ã¢â‚¬  HD Display,3.9,39.1K,3K ,11999,0.9,1199,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Watches
Fire-Boltt Ninja Call Pro 1.69 inch HD G Black,3.9,125551,500,17999,0.95,999,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Watches
Noise Twist Go Round dial Smartwatch ,4,46.4K,3K ,5999,0.72,1699,10/10/2025,11/10/2025,Great Indian Festival,Electronics,Smart Watches
Fire-Boltt Xelor 1.78 inch AMOLED,3.8,1817,500,19999,0.5,1099,10/10/2025,14/10/2025,Best seller,Electronics,Smart Watches
Fire-Boltt Brillia Smart Watch 2.02Ã¢â‚¬ AMOLED,3.8,13.1K,1K ,18999,0.91,1699,10/10/2025,11/10/2025,Great Indian Festival,Electronics,Smart Watches
GOBOULT Drift Plus 1.85 inch HD Black Coffee,4.1,2247,500,8499,0.55,999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Watches
Boat Wave Call 3 Smartwatch 1.83Ã¢â‚¬ HD Display,4.1,25.0K,1K ,6999,0.83,1199,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Watches
Noise Champ 2 Kids Smart Frozen Blue,3.6,13732,500,3999,0.4,1799,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Watches
Noise Endeavour Rugged Design 1.46 AMOLED Display,4,2.0K,500 ,7999,0.6,3199,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Watches
Amazfit T-Rex 3 48mm Rugged Onyx,4.4,1472,1K,29999,0.74,17999,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Smart Watches
boAt Wave Sigma 3 w/Turn-by-Turn Navigation,3.6,3.8K,4K ,8999,0.89,999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Watches
Boult Crown R Pro 1.43 inch HD AMOLED Chrome,4,320,500,6999,0.49,1799,11/10/2025,13/10/2025,Best seller,Electronics,Smart Watches
Fire-Boltt Phoenix Smart Watch 1.38Ã¢â‚¬  HD Display,3.9,1L,3K ,9999,0.89,1099,10/10/2025,11/10/2025,Great Indian Festival,Electronics,Smart Watches
Fastrack Astor FR2 Pro 1.43 inch AMOLED Silver,4,4035,800,5499,0.71,2799,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Smart Watches
Fastrack Limitless FS2+ Smart Watch,4,16.2K,6K ,2995,0.5,1499,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Watches
Noise Quad Call 1.81 inch Elite Black,3.9,6108,500,6999,0.53,1399,10/10/2025,12/10/2025,Best seller,Electronics,Smart Watches
MARVIK Smart Watch for Kids,2.9,889,2K ,999,0.6,399,10/10/2025,10/10/2025,Best seller,Electronics,Smart Watches
Noise Twist Go 1.39 inch Round Elite Silver,3.9,46829,500,5999,0.87,1699,11/10/2025,13/10/2025,Limited time deal,Electronics,Smart Watches
Fire-Boltt Rise Smart Watch,3.9,39.1K,1K ,14999,0.91,1299,10/10/2025,11/10/2025,Great Indian Festival,Electronics,Smart Watches
Fire-Boltt Talk 1.39 inch TFT Talk Blue,3.9,36415,1K,11999,0.8,999,10/10/2025,12/10/2025,Limited time deal,Electronics,Smart Watches
boAt Wave Sigma 3 2.01 inch HD Cherry Blossom,3.6,3875,500,8999,0.82,999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Watches
Fire-Boltt Ninja Call Pro Plus 1.83 inch HD Blue,3.9,125551,2K,19999,0.91,999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Watches
Fire-Boltt Phoenix Pro 1.39 inch HD Black,3.9,101992,1K,11999,0.92,1099,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Watches
Fire-Boltt Ninja Call Pro Max 2.01 inch Forest Green,3.6,2034,400,18999,0.95,999,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Smart Watches
Fire-Boltt Ninja Call Pro Max Ultra 2.01 inch HD Gold,3.9,125551,1K,16999,0.94,1099,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Watches
Fire-Boltt Phoenix Pro 1.39 inch Black,3.7,2407,500,11999,0.92,999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Watches
Noise Vortex Plus 1.46 inch AMOLED Black,4,54998,2K,6999,0.71,1999,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Watches
NoiseFit Halo 1.43 inch AMOLED Jet Black,4,9281,2K,7999,0.71,2299,10/10/2025,14/10/2025,Great Indian Festival,Electronics,Smart Watches
Fire-Boltt Brillia 2.02 inch AMOLED Black,3.8,13206,1K,18999,0.92,1599,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Watches
Noise Pulse Go Buzz 1.69 inch TFT Rose Pink,4,21868,2K,4999,0.78,1099,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Smart Watches
Noise Diva AMOLED Gold Link,4.1,4545,2K,5999,0.5,2999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Watches
Noise Twist Round 1.38 inch TFT Midnight Blue,3.9,46829,2K,4999,0.78,1099,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Watches
Fastrack FS1 Pro 1.97 inch AMOLED Black,4,4035,2K,4999,0.5,2499,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Smart Watches
boAt Wave Call 1.69 inch HD Bold Black,3.9,27624,1K,7990,0.87,999,11/10/2025,13/10/2025,Limited time deal,Electronics,Smart Watches
Redmi Watch 5 Active 2 inch Matte Silver,4.1,655,2K,4999,0.6,1999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Watches
MARVIK D20 Plus 2025 Kids Black,2.9,928,2K,999,0.6,399,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Watches
Fire-Boltt Snapp 54.1mm AMOLED Archaic Black,3,626,4K,null,0.92,null,11/10/2025,13/10/2025,Best seller,Electronics,Smart Watches
Fastrack Astor FR2 Pro 1.43 inch AMOLED Black,4,4035,2K,5499,0.45,2999,11/10/2025,13/10/2025,Limited time deal,Electronics,Smart Watches
Fire-Boltt Talk 1.39 inch TFT Talk Black,3.9,36415,2K,11999,0.95,999,10/10/2025,14/10/2025,Deal with GST Savings,Electronics,Smart Watches
Fire-Boltt Talk 2 Pro Ultra 1.39 inch Black Dual,3.9,36415,1K,14999,0.92,1199,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Watches
Fire-Boltt Phoenix Ultra Blaze 1.43 inch Black,3.7,2407,1K,18999,0.94,1199,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Watches
boAt Storm Infinity 1.83 inch HD Active Black,3.9,1219,2K,5999,0.82,1099,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Watches
Redmi Watch 5 Lite 1.96 inch AMOLED Black,4,1086,2K,6999,0.53,3299,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Smart Watches
Noise Pulse 4 Max 1.96 inch AMOLED Jet Black,4,84124,2K,6999,0.71,1999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Smart Watches
Fire-Boltt Ninja Call Pro Plus 1.83 inch HD Pink,3.9,125551,2K,19999,0.95,999,10/10/2025,12/10/2025,Limited time deal,Electronics,Smart Watches
Fire-Boltt Ninja Call Pro Max 2.01 inch HD Blue,3.9,125551,2K,14999,0.93,1099,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Smart Watches
Samsung Galaxy Tab S9 FE [Smartchoice],4.4,2.1K,5K ,44999,0.4,26999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Tablets
Lenovo Tab M10 HD,3.7,424,100,24000,0.47,8999,10/10/2025,12/10/2025,Limited time deal,Electronics,Tablets
Samsung Galaxy Tab S9,4.5,321,5K ,81900,0.51,39999,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Tablets
Samsung Galaxy Tab A9+,3.5,6,100,22999,0.45,15500,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Tablets
Lenovo Idea Tab Smartchoice Pen,4.2,269,5K ,25000,0.24,18990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Tablets
Lenovo Tab M9,4.1,11,200,18000,0.33,8739,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Tablets
Lenovo Yoga Tab Plus Smartchoice AI Tablet,4.3,136,200 ,79000,0.43,44990,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Tablets
"Samsung Galaxy Tab A9+ (5G, 4GB) – Snapdragon 695",4.1,283,50,27999,0.51,16649,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Tablets
Lenovo Tab M9,4.5,74,500 ,20000,0.57,8689,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Tablets
Samsung Galaxy Tab A9+ (Refurbished),4,104,200,27999,0.41,14961,10/10/2025,12/10/2025,Best seller,Electronics,Tablets
OnePlus Pad 2(12.1 Inch)LCD Display,4.4,512,500 ,47999,0.27,34999,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Tablets
Redmi Pad Pro 5G (Refurbished),3.4,3,100,23990,0.63,17999,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Tablets
Lenovo Yoga Tab Plus Smartchoice AI Tablet ,4.3,136,500 ,89000,0.46,47990,11/10/2025,12/10/2025,Great Indian Festival,Electronics,Tablets
Samsung Galaxy Tab S10 FE,4.7,12,50,70999,0.24,61999,10/10/2025,12/10/2025,Best seller,Electronics,Tablets
OnePlus Pad 3 World's Fastest Snapdragon 8 Elite,4.3,93,500 ,49999,0.04,47999,11/10/2025,12/10/2025,Great Indian Festival,Electronics,Tablets
Lenovo Tab M10 HD – MediaTek MT8768,2.9,294,50,21000,0.51,6444,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Tablets
realme Pad 2 6 GB RAM 128 GB ROM ,4.1,58,400 ,24999,0.52,11999,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Tablets
XIAOMI Pad 7,4.4,1109,100,39999,0.69,29999,10/10/2025,14/10/2025,Deal with GST Savings,Electronics,Tablets
Redmi Pad 2 Wi-Fi + Cellular,4.2,488,1K ,19999,0.25,14999,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Tablets
Lenovo Idea Tab Smartchoice,4.2,389,200,28000,0.25,16990,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Tablets
Samsung Galaxy Tab S9 FE+ 31.50 cm (12.4 inch),4.5,892,1K ,59999,0.51,29499,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Tablets
